COUNTRY,FOCUS_GROUP,PRODUCT_GENDER_CLUSTER,MAIN_CATEGORY_CLUSTER,GMV_BEFORE_RETURN
PL,Brand,WOMEN,ACC,1350
FR,Brand,WOMEN,APP,480350
CH,,KIDS,APP,4906
PL,,MEN AND UNISEX,FTW,28770
NO,,WOMEN,FTW,1738
IT,Brand,MEN AND UNISEX,ACC,56807
HU,Peer,MEN AND UNISEX,APP,186773
IT,Peer,MEN AND UNISEX,APP,8592665
BE,Brand,MEN AND UNISEX,FTW,1889645
DE,,MEN AND UNISEX,FTW,366581
IE,Brand,WOMEN,APP,8384
SE,Peer,WOMEN,FTW,930589
HU,Peer,WOMEN,APP,62418
NL,Peer,KIDS,ACC,34134
AT,Peer,KIDS,APP,463811
NO,Brand,MEN AND UNISEX,ACC,21132
CH,,MEN AND UNISEX,APP,92895
LV,Peer,KIDS,APP,11847
BE,Brand,KIDS,FTW,298675
NO,Brand,KIDS,ACC,506
SI,,MEN AND UNISEX,ACC,187
NL,,WOMEN,FTW,8111
NO,Peer,,APP,38
FI,Peer,WOMEN,ACC,11681
CH,Brand,MEN AND UNISEX,APP,709145
DK,Brand,WOMEN,ACC,268
LV,,MEN AND UNISEX,ACC,279
LV,Peer,WOMEN,ACC,289
DE,Brand,WOMEN,ACC,11233
LV,Brand,MEN AND UNISEX,APP,3141
GB,,WOMEN,APP,3955
HR,,WOMEN,APP,245
LT,Peer,KIDS,FTW,16884
AT,Peer,WOMEN,ACC,23026
CH,Peer,WOMEN,FTW,6633641
CZ,Peer,WOMEN,ACC,4833
SK,Peer,WOMEN,APP,132300
IE,Peer,WOMEN,ACC,278
PL,Peer,KIDS,APP,561178
LT,Peer,MEN AND UNISEX,ACC,31163
SI,Peer,KIDS,FTW,37728
NL,Peer,WOMEN,ACC,12840
NO,Peer,KIDS,APP,369652
FR,Brand,MEN AND UNISEX,APP,524394
SI,Peer,WOMEN,APP,82139
NL,Peer,MEN AND UNISEX,FTW,5728025
SK,Peer,KIDS,APP,97610
ES,Brand,WOMEN,FTW,433627
LT,Brand,WOMEN,APP,12940
DE,Peer,WOMEN,ACC,94181
FR,Peer,,APP,30
LT,Peer,WOMEN,ACC,253
IT,,KIDS,APP,5160
DK,Brand,MEN AND UNISEX,ACC,20076
FI,Peer,MEN AND UNISEX,APP,1017255
IE,Peer,KIDS,ACC,501
FR,Peer,MEN AND UNISEX,FTW,10875684
FI,Brand,MEN AND UNISEX,FTW,231005
CZ,Peer,MEN AND UNISEX,APP,1062761
GB,Brand,KIDS,FTW,22233
IT,Brand,KIDS,FTW,410104
ES,Brand,MEN AND UNISEX,FTW,1545041
SK,Brand,KIDS,APP,5069
CZ,Brand,KIDS,ACC,222
PL,,WOMEN,ACC,2633
HU,Peer,KIDS,FTW,103993
GB,,MEN AND UNISEX,APP,3594
IE,,MEN AND UNISEX,ACC,141
