PRODUCT_GENDER_CLUSTER,MAIN_CATEGORY_CLUSTER,TOT,DE,CH,PL,NL,IT,BE,FR,ES,AT,SE,DK,FI,NO,CZ,GB,SK,HR,SI,IE,LT,RO,HU,LV,EE
WOMEN,Subtotal,0.11057105095930952,0.11291965104593542,0.10730880064335019,0.0960404803975085,0.1044085109370007,0.11695612746813272,0.1304567747140416,0.12773249543186163,0.10263368071844663,0.07847012841357087,0.10593430119756472,0.11614655465126739,0.1370105096137561,0.09398411860017666,0.056718795107996746,0.06778400318713493,0.05593572783886999,0.12617984802535182,0.06872164398185215,0.07821392493803717,0.10223665559762825,0.10964428393164166,0.0695529597413594,0.07514767783240776,0.04562805872756933
WOMEN,APP,0.14250943135794084,0.13743758104349782,0.12535708854244373,0.13838755976847994,0.21435319765658473,0.1577416135139144,0.1326107580356303,0.16033365154175316,0.16512931323101201,0.10122861276166278,0.1523212815140078,0.12599865817168546,0.20644566037620563,0.13670282861060545,0.07872767030648531,0.1607957516826177,0.08837837465374916,0.20379402849876319,0.09074908398552088,0.14689186348027192,0.12382419643455211,0.16395016640650312,0.13008696621696955,0.0721428799642161,0.06429663847186241
WOMEN,FTW,0.09018917475968581,0.09259232607291833,0.09369889911382892,0.06394879469815679,0.059924987587659045,0.09144642519440678,0.12972183835885973,0.11522312809039757,0.08433697681655516,0.055028819586160724,0.07733484832260547,0.10935724531527641,0.07155982213846108,0.07038002731535868,0.03751478017843706,0.03513932373433251,0.035528863076381555,0.09635599277770437,0.0567770257911103,0.04672746217781475,0.05323753652802496,0.047718642759965076,0.03773376446411868,0.07978680772621624,0.02532994226010448
WOMEN,ACC,0.049101577872411525,0.1065607983759273,0.09308226495726496,0.025663935516985724,0.03494926719278467,0.03338711208123754,0.016745655608214848,0.046617238183503246,0.013720750067670366,0.019043155966429515,0.05535279805352798,0.058286211396259245,0.05600452561823178,0.08931297709923663,0.0,0.08538899430740038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEN AND UNISEX,Subtotal,0.16624461383715097,0.1916023594066573,0.17679340808527524,0.1287046403053588,0.16835602938079217,0.12564202493832055,0.18370258448603263,0.1514211460006544,0.14229510877002174,0.15168109630824578,0.17373590959940086,0.23926306466651065,0.16414382328193555,0.164306100270577,0.12945213801900965,0.10818757005668869,0.09962664458907591,0.23137724550898203,0.14717420445500015,0.16802200834605138,0.12198272504608673,0.110448627887656,0.08583254102765492,0.1257005501568204,0.10929751359485619
MEN AND UNISEX,APP,0.09819844821195643,0.12940623191222575,0.08757300477490189,0.08078724856200639,0.11404739741119045,0.062000034058815205,0.07750705257604996,0.06992295719356653,0.10273464733513066,0.09919918594654507,0.10522273131018793,0.08471470896275314,0.14336853876948832,0.10977792281999228,0.07380626606823827,0.09639171851895732,0.06635689296577262,0.12320871256066275,0.07658016709473622,0.12471569018817828,0.05365971465936379,0.06087870918877979,0.04917223263012137,0.052847648691848235,0.04584000346125557
MEN AND UNISEX,FTW,0.21541601102913774,0.24230510140043335,0.2456026340629918,0.17088398687790263,0.19783368425622436,0.17705429643687629,0.24705566111506314,0.19969823714360205,0.16353071760984342,0.19932816365886236,0.21823547460860035,0.34172279632851454,0.18628594192520337,0.2115550967185846,0.1864829214382197,0.1138398762474547,0.12460944603329421,0.2871406512780668,0.1911888016154149,0.1949051700066585,0.20282768862000963,0.13786691662676134,0.10932156806017648,0.18653288351653824,0.16104577704344444
MEN AND UNISEX,ACC,0.08963834366315286,0.11719044241727604,0.0600825824393263,0.05963125730775212,0.07047536899892405,0.059098300196935384,0.08810922254453048,0.08804955922242315,0.0644423652133698,0.11489229500022191,0.11245393897064136,0.05833062154246665,0.14732369202539897,0.10142938053776963,0.08860238374953561,0.06271142690233265,0.08334529906348219,0.1634838803369155,0.10316929253604235,0.05916917190489205,0.06378056840713814,0.06793866926025516,0.061996779388083734,0.09053575941369725,0.08025789239662072
KIDS,Subtotal,0.1185554432123866,0.11049426119346009,0.13002835849335417,0.07898404110310878,0.13533373500700543,0.09945586466338234,0.14546955092489414,0.1293628651683078,0.09576618639868976,0.09917463670516785,0.1568224717732816,0.24406892713027245,0.19956599240486708,0.15330382458869005,0.06110071117333339,0.08388603917644862,0.03926358462550021,0.15303626502180157,0.08588381039316685,0.10486289093254267,0.03645307215951513,0.038775662247801046,0.03615399074269871,0.030592319375135603,0.02143064002316826
KIDS,APP,0.14567531653293248,0.15421377833123762,0.13355638729249547,0.15370404720863703,0.2545213414542356,0.10247420787724763,0.13797211062313547,0.13795224227439448,0.10853907044777555,0.1304272017218558,0.23103064620515965,0.1585221227276929,0.29499270782693243,0.2249718525724757,0.06913411701207267,0.15604851520304996,0.049367446118485765,0.1442721728268058,0.06918051370782495,0.15920317869415807,0.03036908967901977,0.04017505470459519,0.05116604012109518,0.02171758876961189,0.023944193061840122
